director,genre,id,popularity,budget,revenue,original_title,release_date,budget_adj,revenue_adj,release_year,release_month,release_day_of_week,leading_actor,profit_adj,ROI_adj
James Wan,Thriller,168259,9.335014,190000000,1506249360,Furious 7,2015-04-01,174799923.08803302,1385748801.47052,2015,4,2,Vin Diesel,1210948878.382487,6.927628210526311
Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Western,281957,9.1107,135000000,532950503,The Revenant,2015-12-25,124199945.352024,490314247.02173096,2015,12,4,Leonardo DiCaprio,366114301.66970694,2.9477815037037023
Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Drama,281957,9.1107,135000000,532950503,The Revenant,2015-12-25,124199945.352024,490314247.02173096,2015,12,4,Leonardo DiCaprio,366114301.66970694,2.9477815037037023
Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Adventure,281957,9.1107,135000000,532950503,The Revenant,2015-12-25,124199945.352024,490314247.02173096,2015,12,4,Leonardo DiCaprio,366114301.66970694,2.9477815037037023
Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Thriller,281957,9.1107,135000000,532950503,The Revenant,2015-12-25,124199945.352024,490314247.02173096,2015,12,4,Leonardo DiCaprio,366114301.66970694,2.9477815037037023
Alan Taylor,Science Fiction,87101,8.654359,155000000,440603537,Terminator Genisys,2015-06-23,142599937.256027,405355075.683766,2015,6,1,Arnold Schwarzenegger,262755138.427739,1.842603464516136
Alan Taylor,Action,87101,8.654359,155000000,440603537,Terminator Genisys,2015-06-23,142599937.256027,405355075.683766,2015,6,1,Arnold Schwarzenegger,262755138.427739,1.842603464516136
Alan Taylor,Thriller,87101,8.654359,155000000,440603537,Terminator Genisys,2015-06-23,142599937.256027,405355075.683766,2015,6,1,Arnold Schwarzenegger,262755138.427739,1.842603464516136
Alan Taylor,Adventure,87101,8.654359,155000000,440603537,Terminator Genisys,2015-06-23,142599937.256027,405355075.683766,2015,6,1,Arnold Schwarzenegger,262755138.427739,1.842603464516136
Ridley Scott,Drama,286217,7.6674,108000000,595380321,The Martian,2015-09-30,99359956.2816192,547749654.3101519,2015,9,2,Matt Damon,448389698.02853274,4.51278075
Ridley Scott,Adventure,286217,7.6674,108000000,595380321,The Martian,2015-09-30,99359956.2816192,547749654.3101519,2015,9,2,Matt Damon,448389698.02853274,4.51278075
Ridley Scott,Science Fiction,286217,7.6674,108000000,595380321,The Martian,2015-09-30,99359956.2816192,547749654.3101519,2015,9,2,Matt Damon,448389698.02853274,4.51278075
Kyle Balda,Family,211672,7.40416499999999,74000000,1156730962,Minions,2015-06-17,68079970.0448131,1064192016.7955099,2015,6,2,Sandra Bullock,996112046.7506969,14.631499486486467
Kyle Balda,Animation,211672,7.40416499999999,74000000,1156730962,Minions,2015-06-17,68079970.0448131,1064192016.7955099,2015,6,2,Sandra Bullock,996112046.7506969,14.631499486486467
Kyle Balda,Adventure,211672,7.40416499999999,74000000,1156730962,Minions,2015-06-17,68079970.0448131,1064192016.7955099,2015,6,2,Sandra Bullock,996112046.7506969,14.631499486486467
Kyle Balda,Comedy,211672,7.40416499999999,74000000,1156730962,Minions,2015-06-17,68079970.0448131,1064192016.7955099,2015,6,2,Sandra Bullock,996112046.7506969,14.631499486486467
Pierre Coffin,Family,211672,7.40416499999999,74000000,1156730962,Minions,2015-06-17,68079970.0448131,1064192016.7955099,2015,6,2,Sandra Bullock,996112046.7506969,14.631499486486467
Pierre Coffin,Animation,211672,7.40416499999999,74000000,1156730962,Minions,2015-06-17,68079970.0448131,1064192016.7955099,2015,6,2,Sandra Bullock,996112046.7506969,14.631499486486467
Pierre Coffin,Adventure,211672,7.40416499999999,74000000,1156730962,Minions,2015-06-17,68079970.0448131,1064192016.7955099,2015,6,2,Sandra Bullock,996112046.7506969,14.631499486486467
Pierre Coffin,Comedy,211672,7.40416499999999,74000000,1156730962,Minions,2015-06-17,68079970.0448131,1064192016.7955099,2015,6,2,Sandra Bullock,996112046.7506969,14.631499486486467
Pete Docter,Comedy,150540,6.326804,175000000,853708609,Inside Out,2015-06-09,160999929.16003102,785411574.698907,2015,6,1,Amy Poehler,624411645.538876,3.878334908571433
Pete Docter,Animation,150540,6.326804,175000000,853708609,Inside Out,2015-06-09,160999929.16003102,785411574.698907,2015,6,1,Amy Poehler,624411645.538876,3.878334908571433
Pete Docter,Family,150540,6.326804,175000000,853708609,Inside Out,2015-06-09,160999929.16003102,785411574.698907,2015,6,1,Amy Poehler,624411645.538876,3.878334908571433
Sam Mendes,Action,206647,6.200282,245000000,880674609,Spectre,2015-10-26,225399900.824043,810220283.783075,2015,10,0,Daniel Craig,584820382.9590319,2.594590240816336
Sam Mendes,Adventure,206647,6.200282,245000000,880674609,Spectre,2015-10-26,225399900.824043,810220283.783075,2015,10,0,Daniel Craig,584820382.9590319,2.594590240816336
Sam Mendes,Crime,206647,6.200282,245000000,880674609,Spectre,2015-10-26,225399900.824043,810220283.783075,2015,10,0,Daniel Craig,584820382.9590319,2.594590240816336
Lana Wachowski,Science Fiction,76757,6.189369,176000003,183987723,Jupiter Ascending,2015-02-04,161919931.51523,169268630.681802,2015,2,2,Mila Kunis,7348699.166572005,0.04538477195366646
Lana Wachowski,Fantasy,76757,6.189369,176000003,183987723,Jupiter Ascending,2015-02-04,161919931.51523,169268630.681802,2015,2,2,Mila Kunis,7348699.166572005,0.04538477195366646
Lana Wachowski,Action,76757,6.189369,176000003,183987723,Jupiter Ascending,2015-02-04,161919931.51523,169268630.681802,2015,2,2,Mila Kunis,7348699.166572005,0.04538477195366646
Lana Wachowski,Adventure,76757,6.189369,176000003,183987723,Jupiter Ascending,2015-02-04,161919931.51523,169268630.681802,2015,2,2,Mila Kunis,7348699.166572005,0.04538477195366646
Lilly Wachowski,Science Fiction,76757,6.189369,176000003,183987723,Jupiter Ascending,2015-02-04,161919931.51523,169268630.681802,2015,2,2,Mila Kunis,7348699.166572005,0.04538477195366646
Lilly Wachowski,Fantasy,76757,6.189369,176000003,183987723,Jupiter Ascending,2015-02-04,161919931.51523,169268630.681802,2015,2,2,Mila Kunis,7348699.166572005,0.04538477195366646
Lilly Wachowski,Action,76757,6.189369,176000003,183987723,Jupiter Ascending,2015-02-04,161919931.51523,169268630.681802,2015,2,2,Mila Kunis,7348699.166572005,0.04538477195366646
Lilly Wachowski,Adventure,76757,6.189369,176000003,183987723,Jupiter Ascending,2015-02-04,161919931.51523,169268630.681802,2015,2,2,Mila Kunis,7348699.166572005,0.04538477195366646
Alex Garland,Drama,264660,6.118847,15000000,36869414,Ex Machina,2015-01-21,13799993.9280026,33919845.9552677,2015,1,2,Domhnall Gleeson,20119852.027265098,1.4579609333333403
Alex Garland,Science Fiction,264660,6.118847,15000000,36869414,Ex Machina,2015-01-21,13799993.9280026,33919845.9552677,2015,1,2,Domhnall Gleeson,20119852.027265098,1.4579609333333403
Chris Columbus,Action,257344,5.984995,88000000,243637091,Pixels,2015-07-16,80959964.37761559,224146025.095748,2015,7,3,Adam Sandler,143186060.71813244,1.7686033068181732
Chris Columbus,Comedy,257344,5.984995,88000000,243637091,Pixels,2015-07-16,80959964.37761559,224146025.095748,2015,7,3,Adam Sandler,143186060.71813244,1.7686033068181732
Chris Columbus,Science Fiction,257344,5.984995,88000000,243637091,Pixels,2015-07-16,80959964.37761559,224146025.095748,2015,7,3,Adam Sandler,143186060.71813244,1.7686033068181732
Joss Whedon,Action,99861,5.944927,280000000,1405035767,Avengers: Age of Ultron,2015-04-22,257599886.656049,1292632336.88177,2015,4,2,Robert Downey Jr.,1035032450.2257209,4.0179848821428665
Joss Whedon,Adventure,99861,5.944927,280000000,1405035767,Avengers: Age of Ultron,2015-04-22,257599886.656049,1292632336.88177,2015,4,2,Robert Downey Jr.,1035032450.2257209,4.0179848821428665
Joss Whedon,Science Fiction,99861,5.944927,280000000,1405035767,Avengers: Age of Ultron,2015-04-22,257599886.656049,1292632336.88177,2015,4,2,Robert Downey Jr.,1035032450.2257209,4.0179848821428665
Quentin Tarantino,Crime,273248,5.8984,44000000,155760117,The Hateful Eight,2015-12-25,40479982.18880779,143299244.588332,2015,12,4,Samuel L. Jackson,102819262.39952421,2.5400026590909035
Quentin Tarantino,Drama,273248,5.8984,44000000,155760117,The Hateful Eight,2015-12-25,40479982.18880779,143299244.588332,2015,12,4,Samuel L. Jackson,102819262.39952421,2.5400026590909035
Quentin Tarantino,Mystery,273248,5.8984,44000000,155760117,The Hateful Eight,2015-12-25,40479982.18880779,143299244.588332,2015,12,4,Samuel L. Jackson,102819262.39952421,2.5400026590909035
Quentin Tarantino,Western,273248,5.8984,44000000,155760117,The Hateful Eight,2015-12-25,40479982.18880779,143299244.588332,2015,12,4,Samuel L. Jackson,102819262.39952421,2.5400026590909035
Olivier Megaton,Crime,260346,5.749758,48000000,325771424,Taken 3,2015-01-01,44159980.5696085,299709578.207785,2015,1,3,Liam Neeson,255549597.6381765,5.78690466666666
Olivier Megaton,Action,260346,5.749758,48000000,325771424,Taken 3,2015-01-01,44159980.5696085,299709578.207785,2015,1,3,Liam Neeson,255549597.6381765,5.78690466666666
Olivier Megaton,Thriller,260346,5.749758,48000000,325771424,Taken 3,2015-01-01,44159980.5696085,299709578.207785,2015,1,3,Liam Neeson,255549597.6381765,5.78690466666666
Peyton Reed,Science Fiction,102899,5.5731839999999995,130000000,518602163,Ant-Man,2015-07-14,119599947.376023,477113780.029936,2015,7,1,Paul Rudd,357513832.653913,2.989247407692307
Peyton Reed,Action,102899,5.5731839999999995,130000000,518602163,Ant-Man,2015-07-14,119599947.376023,477113780.029936,2015,7,1,Paul Rudd,357513832.653913,2.989247407692307
Peyton Reed,Adventure,102899,5.5731839999999995,130000000,518602163,Ant-Man,2015-07-14,119599947.376023,477113780.029936,2015,7,1,Paul Rudd,357513832.653913,2.989247407692307
Kenneth Branagh,Romance,150689,5.556818,95000000,542351353,Cinderella,2015-03-12,87399961.54401691,498963025.21626794,2015,3,3,Lily James,411563063.67225105,4.7089616105263055
Kenneth Branagh,Fantasy,150689,5.556818,95000000,542351353,Cinderella,2015-03-12,87399961.54401691,498963025.21626794,2015,3,3,Lily James,411563063.67225105,4.7089616105263055
Kenneth Branagh,Family,150689,5.556818,95000000,542351353,Cinderella,2015-03-12,87399961.54401691,498963025.21626794,2015,3,3,Lily James,411563063.67225105,4.7089616105263055
Kenneth Branagh,Drama,150689,5.556818,95000000,542351353,Cinderella,2015-03-12,87399961.54401691,498963025.21626794,2015,3,3,Lily James,411563063.67225105,4.7089616105263055
Francis Lawrence,War,131634,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,2015-11-18,147199935.232028,598481289.508232,2015,11,2,Jennifer Lawrence,451281354.276204,3.065771418750009
Francis Lawrence,Adventure,131634,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,2015-11-18,147199935.232028,598481289.508232,2015,11,2,Jennifer Lawrence,451281354.276204,3.065771418750009
Francis Lawrence,Science Fiction,131634,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,2015-11-18,147199935.232028,598481289.508232,2015,11,2,Jennifer Lawrence,451281354.276204,3.065771418750009
Brad Bird,Action,158852,5.4621379999999995,190000000,209035668,Tomorrowland,2015-05-19,174799923.08803302,192312729.942398,2015,5,1,Britt Robertson,17512806.85436499,0.10018772631578998
Brad Bird,Family,158852,5.4621379999999995,190000000,209035668,Tomorrowland,2015-05-19,174799923.08803302,192312729.942398,2015,5,1,Britt Robertson,17512806.85436499,0.10018772631578998
Brad Bird,Science Fiction,158852,5.4621379999999995,190000000,209035668,Tomorrowland,2015-05-19,174799923.08803302,192312729.942398,2015,5,1,Britt Robertson,17512806.85436499,0.10018772631578998
Brad Bird,Adventure,158852,5.4621379999999995,190000000,209035668,Tomorrowland,2015-05-19,174799923.08803302,192312729.942398,2015,5,1,Britt Robertson,17512806.85436499,0.10018772631578998
Brad Bird,Mystery,158852,5.4621379999999995,190000000,209035668,Tomorrowland,2015-05-19,174799923.08803302,192312729.942398,2015,5,1,Britt Robertson,17512806.85436499,0.10018772631578998
Antoine Fuqua,Action,307081,5.337064,30000000,91709827,Southpaw,2015-06-15,27599987.856005296,84373003.7158783,2015,6,0,Jake Gyllenhaal,56773015.859873,2.0569942333333358
Antoine Fuqua,Drama,307081,5.337064,30000000,91709827,Southpaw,2015-06-15,27599987.856005296,84373003.7158783,2015,6,0,Jake Gyllenhaal,56773015.859873,2.0569942333333358
Brad Peyton,Action,254128,4.907832,110000000,470490832,San Andreas,2015-05-27,101199955.47201899,432851374.985395,2015,5,2,Dwayne Johnson,331651419.513376,3.277189381818207
Brad Peyton,Drama,254128,4.907832,110000000,470490832,San Andreas,2015-05-27,101199955.47201899,432851374.985395,2015,5,2,Dwayne Johnson,331651419.513376,3.277189381818207
Brad Peyton,Thriller,254128,4.907832,110000000,470490832,San Andreas,2015-05-27,101199955.47201899,432851374.985395,2015,5,2,Dwayne Johnson,331651419.513376,3.277189381818207
Sam Taylor-Johnson,Drama,216015,4.71040199999999,40000000,569651467,Fifty Shades of Grey,2015-02-11,36799983.808007106,524079119.045187,2015,2,2,Dakota Johnson,487279135.2371799,13.241286674999989
Sam Taylor-Johnson,Romance,216015,4.71040199999999,40000000,569651467,Fifty Shades of Grey,2015-02-11,36799983.808007106,524079119.045187,2015,2,2,Dakota Johnson,487279135.2371799,13.241286674999989
Adam McKay,Comedy,318846,4.648046,28000000,133346506,The Big Short,2015-12-11,25759988.665604897,122678731.54135801,2015,12,4,Christian Bale,96918742.8757531,3.7623752142857265
Adam McKay,Drama,318846,4.648046,28000000,133346506,The Big Short,2015-12-11,25759988.665604897,122678731.54135801,2015,12,4,Christian Bale,96918742.8757531,3.7623752142857265
Christopher McQuarrie,Action,177677,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,2015-07-23,137999939.280026,627743451.672881,2015,7,3,Tom Cruise,489743512.39285505,3.5488675933333558
Seth MacFarlane,Comedy,214756,4.5645489999999995,68000000,215863606,Ted 2,2015-06-25,62559972.4736121,198594430.13845,2015,6,3,Mark Wahlberg,136034457.6648379,2.1744647941176356
Matthew Vaughn,Crime,207703,4.503789,81000000,403802136,Kingsman: The Secret Service,2015-01-24,74519967.21121441,371497801.660967,2015,1,5,Taron Egerton,296977834.44975257,3.9852115555555527
Matthew Vaughn,Comedy,207703,4.503789,81000000,403802136,Kingsman: The Secret Service,2015-01-24,74519967.21121441,371497801.660967,2015,1,5,Taron Egerton,296977834.44975257,3.9852115555555527
Matthew Vaughn,Action,207703,4.503789,81000000,403802136,Kingsman: The Secret Service,2015-01-24,74519967.21121441,371497801.660967,2015,1,5,Taron Egerton,296977834.44975257,3.9852115555555527
Matthew Vaughn,Adventure,207703,4.503789,81000000,403802136,Kingsman: The Secret Service,2015-01-24,74519967.21121441,371497801.660967,2015,1,5,Taron Egerton,296977834.44975257,3.9852115555555527
Tom McCarthy,Drama,314365,4.062293,20000000,88346473,Spotlight,2015-11-06,18399991.9040035,81278719.39736341,2015,11,4,Mark Ruffalo,62878727.49335991,3.4173236500000117
Tom McCarthy,Thriller,314365,4.062293,20000000,88346473,Spotlight,2015-11-06,18399991.9040035,81278719.39736341,2015,11,4,Mark Ruffalo,62878727.49335991,3.4173236500000117
Tom McCarthy,History,314365,4.062293,20000000,88346473,Spotlight,2015-11-06,18399991.9040035,81278719.39736341,2015,11,4,Mark Ruffalo,62878727.49335991,3.4173236500000117
Wes Ball,Action,294254,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,2015-09-09,56119975.30721079,286356245.923251,2015,9,2,Dylan O'Brien,230236270.61604017,4.102572557377041
Wes Ball,Science Fiction,294254,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,2015-09-09,56119975.30721079,286356245.923251,2015,9,2,Dylan O'Brien,230236270.61604017,4.102572557377041
Wes Ball,Thriller,294254,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,2015-09-09,56119975.30721079,286356245.923251,2015,9,2,Dylan O'Brien,230236270.61604017,4.102572557377041
Neill Blomkamp,Crime,198184,3.899557,49000000,102069268,Chappie,2015-03-04,45079980.164808705,93903685.2423785,2015,3,2,Sharlto Copley,48823705.0775698,1.0830462857142868
Neill Blomkamp,Action,198184,3.899557,49000000,102069268,Chappie,2015-03-04,45079980.164808705,93903685.2423785,2015,3,2,Sharlto Copley,48823705.0775698,1.0830462857142868
Neill Blomkamp,Science Fiction,198184,3.899557,49000000,102069268,Chappie,2015-03-04,45079980.164808705,93903685.2423785,2015,3,2,Sharlto Copley,48823705.0775698,1.0830462857142868
Elizabeth Banks,Comedy,254470,3.877764,29000000,287506194,Pitch Perfect 2,2015-05-07,26679988.260805104,264505582.09754303,2015,5,3,Anna Kendrick,237825593.83673793,8.914006689655164
Elizabeth Banks,Music,254470,3.877764,29000000,287506194,Pitch Perfect 2,2015-05-07,26679988.260805104,264505582.09754303,2015,5,3,Anna Kendrick,237825593.83673793,8.914006689655164
Steven Spielberg,Thriller,296098,3.6482099999999997,40000000,162610473,Bridge of Spies,2015-10-15,36799983.808007106,149601569.335309,2015,10,3,Tom Hanks,112801585.5273019,3.065261824999989
Steven Spielberg,Drama,296098,3.6482099999999997,40000000,162610473,Bridge of Spies,2015-10-15,36799983.808007106,149601569.335309,2015,10,3,Tom Hanks,112801585.5273019,3.065261824999989
Rob Letterman,Adventure,257445,3.6445410000000003,58000000,150170815,Goosebumps,2015-08-05,53359976.5216103,138157089.01088,2015,8,2,Jack Black,84797112.4892697,1.5891519827586067
Rob Letterman,Horror,257445,3.6445410000000003,58000000,150170815,Goosebumps,2015-08-05,53359976.5216103,138157089.01088,2015,8,2,Jack Black,84797112.4892697,1.5891519827586067
Rob Letterman,Comedy,257445,3.6445410000000003,58000000,150170815,Goosebumps,2015-08-05,53359976.5216103,138157089.01088,2015,8,2,Jack Black,84797112.4892697,1.5891519827586067
Lenny Abrahamson,Drama,264644,3.557846,6000000,35401758,Room,2015-10-16,5519997.57120106,32569603.029374603,2015,10,4,Brie Larson,27049605.458173543,4.900292999999998
Lenny Abrahamson,Thriller,264644,3.557846,6000000,35401758,Room,2015-10-16,5519997.57120106,32569603.029374603,2015,10,4,Brie Larson,27049605.458173543,4.900292999999998
Peter Sohn,Adventure,105864,3.3391349999999997,175000000,331926147,The Good Dinosaur,2015-11-14,160999929.16003102,305371920.876354,2015,11,5,Raymond Ochoa,144371991.71632296,0.8967208399999965
Peter Sohn,Animation,105864,3.3391349999999997,175000000,331926147,The Good Dinosaur,2015-11-14,160999929.16003102,305371920.876354,2015,11,5,Raymond Ochoa,144371991.71632296,0.8967208399999965
Peter Sohn,Comedy,105864,3.3391349999999997,175000000,331926147,The Good Dinosaur,2015-11-14,160999929.16003102,305371920.876354,2015,11,5,Raymond Ochoa,144371991.71632296,0.8967208399999965
Peter Sohn,Family,105864,3.3391349999999997,175000000,331926147,The Good Dinosaur,2015-11-14,160999929.16003102,305371920.876354,2015,11,5,Raymond Ochoa,144371991.71632296,0.8967208399999965
Peter Sohn,Fantasy,105864,3.3391349999999997,175000000,331926147,The Good Dinosaur,2015-11-14,160999929.16003102,305371920.876354,2015,11,5,Raymond Ochoa,144371991.71632296,0.8967208399999965
Jaume Collet-Serra,Action,241554,3.23737,50000000,71561644,Run All Night,2015-03-11,45999979.7600089,65836683.5118592,2015,3,2,Liam Neeson,19836703.7518503,0.431232879999999
Jaume Collet-Serra,Crime,241554,3.23737,50000000,71561644,Run All Night,2015-03-11,45999979.7600089,65836683.5118592,2015,3,2,Liam Neeson,19836703.7518503,0.431232879999999
Jaume Collet-Serra,Drama,241554,3.23737,50000000,71561644,Run All Night,2015-03-11,45999979.7600089,65836683.5118592,2015,3,2,Liam Neeson,19836703.7518503,0.431232879999999
Jaume Collet-Serra,Mystery,241554,3.23737,50000000,71561644,Run All Night,2015-03-11,45999979.7600089,65836683.5118592,2015,3,2,Liam Neeson,19836703.7518503,0.431232879999999
Jaume Collet-Serra,Thriller,241554,3.23737,50000000,71561644,Run All Night,2015-03-11,45999979.7600089,65836683.5118592,2015,3,2,Liam Neeson,19836703.7518503,0.431232879999999
John Crowley,Drama,167073,3.227329,11000000,62076141,Brooklyn,2015-11-04,10119995.5472019,57110024.5915891,2015,11,2,Saoirse Ronan,46990029.0443872,4.643285545454571
John Crowley,Romance,167073,3.227329,11000000,62076141,Brooklyn,2015-11-04,10119995.5472019,57110024.5915891,2015,11,2,Saoirse Ronan,46990029.0443872,4.643285545454571
F. Gary Gray,Drama,277216,3.2027189999999996,28000000,201634991,Straight Outta Compton,2015-08-13,25759988.665604897,185504110.098191,2015,8,3,O'Shea Jackson Jr.,159744121.4325861,6.201249678571433
F. Gary Gray,Music,277216,3.2027189999999996,28000000,201634991,Straight Outta Compton,2015-08-13,25759988.665604897,185504110.098191,2015,8,3,O'Shea Jackson Jr.,159744121.4325861,6.201249678571433
Breck Eisner,Fantasy,274854,3.080505,90000000,140396650,The Last Witch Hunter,2015-10-21,82799963.56801601,129164861.16746101,2015,10,2,Vin Diesel,46364897.599445,0.5599627777777773
Breck Eisner,Action,274854,3.080505,90000000,140396650,The Last Witch Hunter,2015-10-21,82799963.56801601,129164861.16746101,2015,10,2,Vin Diesel,46364897.599445,0.5599627777777773
Breck Eisner,Adventure,274854,3.080505,90000000,140396650,The Last Witch Hunter,2015-10-21,82799963.56801601,129164861.16746101,2015,10,2,Vin Diesel,46364897.599445,0.5599627777777773
Danny Boyle,History,321697,3.0795220000000003,30000000,34441873,Steve Jobs,2015-10-09,27599987.856005296,31686509.2179359,2015,10,4,Michael Fassbender,4086521.361930605,0.14806243333333374
Danny Boyle,Drama,321697,3.0795220000000003,30000000,34441873,Steve Jobs,2015-10-09,27599987.856005296,31686509.2179359,2015,10,4,Michael Fassbender,4086521.361930605,0.14806243333333374
Guy Ritchie,Comedy,203801,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,2015-08-13,68999969.64001329,99493456.50287908,2015,8,3,Henry Cavill,30493486.86286579,0.44193478666666725
Guy Ritchie,Action,203801,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,2015-08-13,68999969.64001329,99493456.50287908,2015,8,3,Henry Cavill,30493486.86286579,0.44193478666666725
Guy Ritchie,Adventure,203801,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,2015-08-13,68999969.64001329,99493456.50287908,2015,8,3,Henry Cavill,30493486.86286579,0.44193478666666725
Lee Toland Krieger,Fantasy,293863,3.025852,25000000,42629776,The Age of Adaline,2015-04-16,22999989.8800044,39219376.6634742,2015,4,3,Blake Lively,16219386.783469804,0.7051910400000012
Lee Toland Krieger,Drama,293863,3.025852,25000000,42629776,The Age of Adaline,2015-04-16,22999989.8800044,39219376.6634742,2015,4,3,Blake Lively,16219386.783469804,0.7051910400000012
Lee Toland Krieger,Romance,293863,3.025852,25000000,42629776,The Age of Adaline,2015-04-16,22999989.8800044,39219376.6634742,2015,4,3,Blake Lively,16219386.783469804,0.7051910400000012
Ilya Naishuller,Action,325348,3.023253,10000000,14333790,Hardcore Henry,2015-09-12,9199995.95200178,13187080.9976843,2015,9,5,Sharlto Copley,3987085.0456825197,0.4333789999999935
Ilya Naishuller,Adventure,325348,3.023253,10000000,14333790,Hardcore Henry,2015-09-12,9199995.95200178,13187080.9976843,2015,9,5,Sharlto Copley,3987085.0456825197,0.4333789999999935
Ilya Naishuller,Science Fiction,325348,3.023253,10000000,14333790,Hardcore Henry,2015-09-12,9199995.95200178,13187080.9976843,2015,9,5,Sharlto Copley,3987085.0456825197,0.4333789999999935
Tim Johnson,Fantasy,228161,2.976436,135000000,368871007,Home,2015-03-18,124199945.352024,339361177.121082,2015,3,2,Jim Parsons,215161231.769058,1.73237782962963
Tim Johnson,Comedy,228161,2.976436,135000000,368871007,Home,2015-03-18,124199945.352024,339361177.121082,2015,3,2,Jim Parsons,215161231.769058,1.73237782962963
Tim Johnson,Animation,228161,2.976436,135000000,368871007,Home,2015-03-18,124199945.352024,339361177.121082,2015,3,2,Jim Parsons,215161231.769058,1.73237782962963
Tim Johnson,Science Fiction,228161,2.976436,135000000,368871007,Home,2015-03-18,124199945.352024,339361177.121082,2015,3,2,Jim Parsons,215161231.769058,1.73237782962963
Tim Johnson,Family,228161,2.976436,135000000,368871007,Home,2015-03-18,124199945.352024,339361177.121082,2015,3,2,Jim Parsons,215161231.769058,1.73237782962963
Jake Schreier,Drama,286565,2.968254,12000000,85512300,Paper Towns,2015-07-09,11039995.1424021,78671281.38463621,2015,7,3,Nat Wolff,67631286.24223411,6.126025000000026
